Citation,Manner,Cleaned_Citation,Stemmed_tokens,Tokenized_Citation
القلب المملوء حزناً كالكأس الطافئة، يصعب حمله.,Sentiment: negative,"['القلب', 'المملوا', 'حزنا', 'كالكأس', 'الطافئة', 'يصعب', 'حمله']",قلب المملوا حز كأس الطافئة صعب حمل,"['قلب', 'المملوا', 'حز', 'كأس', 'الطافئة', 'صعب', 'حمل']"
الحياة يا صديقي شيء جدي أكثر مما يتصور الناس، ومن يريد أن يحيا عليه أن يغامر كثيرا، أن يكون شجاعا.,Good Moral: شُجاع,"['الحياة', 'صديقي', 'شيا', 'جدي', 'يتصور', 'الناس', 'يريد', 'يحيا', 'يغامر', 'يكون', 'شجاعا']",ألحي صديق شي جد تصور ناس ريد حي غامر يكون شجاع,"['ألحي', 'صديق', 'شي', 'جد', 'تصور', 'ناس', 'ريد', 'حي', 'غامر', 'يكون', 'شجاع']"
ولا أحزن بالحزن، ولكن بهموم بعضها الحزن.,Sentiment: negative,"['أحزن', 'بالحزن', 'بهموم', 'بعضها', 'الحزن']",أحزن حزن هموم بعض حزن,"['أحزن', 'حزن', 'هموم', 'بعض', 'حزن']"
المقرونُ حبلَ القرينْ.,Sentiment: positive,"['المقرون', 'حبل', 'القرين']",مقرون حبل قرين,"['مقرون', 'حبل', 'قرين']"
الغيرة ألم جسدي أيضاً.,Good Moral: غَيْر,"['الغيرة', 'ألم', 'جسدي']",غير ألم جسد,"['غير', 'ألم', 'جسد']"
الغيرة غريزة طبيعية.,Good Moral: غَيْر,"['الغيرة', 'غريزة', 'طبيعية']",غير غريز طبيعي,"['غير', 'غريز', 'طبيعي']"
لغيرة ترى كل شيء إلا ما هو كائن.,Sentiment: positive,"['لغيرة', 'ترى', 'شيا', 'كائن']",غير ترى شي كائن,"['غير', 'ترى', 'شي', 'كائن']"
الخوف والغيرة لها أعين كبيرة.,Good Moral: غَيْر,"['الخوف', 'الغيرة', 'أعين', 'كبيرة']",خوف غير أعين كبير,"['خوف', 'غير', 'أعين', 'كبير']"
الغيرة عدسة تكبر الأشياء الصغيرة.,Good Moral: غَيْر,"['الغيرة', 'عدسة', 'تكبر', 'الأشياا', 'الصغيرة']",غير عدس تكبر الأشياا صغير,"['غير', 'عدس', 'تكبر', 'الأشياا', 'صغير']"
فرسان يحملون راية الحق هذا ما تحتاجه الأمة اليوم، يحتاجه العالم وإنّ عدم استخدام السيوف والأحصنة لا يعني عدم وجود الفروسية في زماننا هذا.,Sentiment: positive,"['فرسان', 'يحملون', 'راية', 'الحق', 'تحتاجه', 'الأمة', 'اليوم', 'يحتاجه', 'العالم', 'عدم', 'استخدام', 'السيوف', 'الأحصنة', 'يعني', 'عدم', 'جود', 'الفروسية', 'زماننا']",فرس حمل رأي ألحق حتاج ألأم اليوم حتاج عالم عدم ٱستخدام سيوف أحصن عني عدم جود فروسي زمان,"['فرس', 'حمل', 'رأي', 'ألحق', 'حتاج', 'ألأم', 'اليوم', 'حتاج', 'عالم', 'عدم', 'ٱستخدام', 'سيوف', 'أحصن', 'عني', 'عدم', 'جود', 'فروسي', 'زمان']"
الفروسية قبل كل شيء أخلاق وقيم، غيرة تنتفض بأصحابها للتصدي لقوى الباطل.,Good Moral: غَيْر,"['الفروسية', 'شيا', 'أخلاق', 'قيم', 'غيرة', 'تنتفض', 'بأصحابها', 'للتصدي', 'لقوى', 'الباطل']",فروسي شي أخلاق قيم غير نتفض أصحاب تصدي قوي باطل,"['فروسي', 'شي', 'أخلاق', 'قيم', 'غير', 'نتفض', 'أصحاب', 'تصدي', 'قوي', 'باطل']"
المؤمن يغار والله أشد غيرة.,Good Moral: غَيْر,"['المامن', 'يغار', 'الله', 'أشد', 'غيرة']",مأمن غار الله أشد غير,"['مأمن', 'غار', 'الله', 'أشد', 'غير']"
قد جدع الحلال أنف الغيرة. إذا لم أنافس في هواك ولم أرعلك فيمن ليت شعري أنافس.,Good Moral: غَيْر,"['جدع', 'الحلال', 'أنف', 'الغيرة', 'أنافس', 'هواك', 'أرعلك', 'فيمن', 'شعري', 'أنافس']",جدع حلال أنف غير نافس هوا أرعلك يمن شعر نافس,"['جدع', 'حلال', 'أنف', 'غير', 'نافس', 'هوا', 'أرعلك', 'يمن', 'شعر', 'نافس']"
أغار عليك من عنيني وقلبي ومنك ومن زمامك والمكان ولو أني جعلتك في عيوبي إلى يوم القيامة ما كفاني.,Sentiment: positive,"['أغار', 'عنيني', 'قلبي', 'منك', 'زمامك', 'المكان', 'أني', 'جعلتك', 'عيوبي', 'يوم', 'القيامة', 'كفاني']",أغار عنين قلب من زمام مكان آن جعل عيوب يوم قيام كف,"['أغار', 'عنين', 'قلب', 'من', 'زمام', 'مكان', 'آن', 'جعل', 'عيوب', 'يوم', 'قيام', 'كف']"
أغار عليها من أبيها وأمها ومن مصة المسواك إن داراً بالفم.,Sentiment: negative,"['أغار', 'عليها', 'أبيها', 'أمها', 'مصة', 'المسواك', 'دارا', 'بالفم']",أغار علي آب أم مص مسواك دار فم,"['أغار', 'علي', 'آب', 'أم', 'مص', 'مسواك', 'دار', 'فم']"
في الغيرة حب ذات أكثر من حب الآخر.,Good Moral: غَيْر,"['الغيرة', 'حب', 'حب', 'الآخر']",غير حب حب آخر,"['غير', 'حب', 'حب', 'آخر']"
الغيرة في الحب كالماء للوردة قليله ينعش وكثيره يقتل.,Good Moral: غَيْر,"['الغيرة', 'الحب', 'كالماا', 'للوردة', 'قليله', 'ينعش', 'كثيره', 'يقتل']",غير حب كالماا لورد قليل نعش كثير قتل,"['غير', 'حب', 'كالماا', 'لورد', 'قليل', 'نعش', 'كثير', 'قتل']"
متى دخلت الغيرة خرجت الحقيقة من الرأس. قليل من الغيرة بنّاء وكثير منها هدّام.,Good Moral: غَيْر,"['دخلت', 'الغيرة', 'خرجت', 'الحقيقة', 'الرأس', 'قليل', 'الغيرة', 'بناا', 'كثير', 'هدام']",دخل غير خرج حقيق رأس قليل غير بناا كثير هدام,"['دخل', 'غير', 'خرج', 'حقيق', 'رأس', 'قليل', 'غير', 'بناا', 'كثير', 'هدام']"
المحبة قوية كالموت والغيرة قاسية كالقبر. الغيرة تشلّ الحب.,Good Moral: مُحِبّ,"['المحبة', 'قوية', 'كالموت', 'الغيرة', 'قاسية', 'كالقبر', 'الغيرة', 'تشل', 'الحب']",محب قوي موت غير قاس قبر غير شل حب,"['محب', 'قوي', 'موت', 'غير', 'قاس', 'قبر', 'غير', 'شل', 'حب']"
الغيرة هي الطاغية في مملكة الحب.,Good Moral: غَيْر,"['الغيرة', 'الطاغية', 'مملكة', 'الحب']",غير طاغي مملك حب,"['غير', 'طاغي', 'مملك', 'حب']"
نحن نساء مع رجالنا، رجال مع غيرهم.,Good Moral: غَيْر,"['نساا', 'رجالنا', 'رجال', 'غيرهم']",نساا رجال رجال غير,"['نساا', 'رجال', 'رجال', 'غير']"
ليست دائماً الغيرة دليل الحب.,Good Moral: غَيْر,"['دائما', 'الغيرة', 'دليل', 'الحب']",دائم غير دليل حب,"['دائم', 'غير', 'دليل', 'حب']"
فأحياناً تكون دليل أشياء أخرى بعيدة تماماً عن الحب.,Sentiment: positive,"['فأحيانا', 'تكون', 'دليل', 'أشياا', 'أخرى', 'بعيدة', 'تماما', 'الحب']",أحيا تكون دليل أشياا آخر بعيد تمام حب,"['أحيا', 'تكون', 'دليل', 'أشياا', 'آخر', 'بعيد', 'تمام', 'حب']"
كم نتغنى بدفء العلاقات في الشرق يا لَلسخف والكذب,Blameworthy Moral: كِذْب,"['نتغنى', 'بدفا', 'العلاقات', 'الشرق', 'للسخف', 'الكذب']",تغنى بدفا علاق شرق سخف كذب,"['تغنى', 'بدفا', 'علاق', 'شرق', 'سخف', 'كذب']"
أساس العلاقات للأسف الغيرة والحسد والتلذّذ بمصائب الآخرين أمّا أن تجد شخصاً يفرح من قلبه لنجاحاتك فهذا شيء نادر.,Good Moral: غَيْر,"['أساس', 'العلاقات', 'للأسف', 'الغيرة', 'الحسد', 'التلذذ', 'بمصائب', 'الآخرين', 'تجد', 'شخصا', 'يفرح', 'قلبه', 'لنجاحاتك', 'فهذا', 'شيا', 'نادر']",أساس علاق أسف غير حسد التلذذ مصائب آخر جد شخص فرح قلب نجاح هذا شي نادر,"['أساس', 'علاق', 'أسف', 'غير', 'حسد', 'التلذذ', 'مصائب', 'آخر', 'جد', 'شخص', 'فرح', 'قلب', 'نجاح', 'هذا', 'شي', 'نادر']"
شتّان بين شعورين: شعور الغيرة على حرمات الله والرغبة في حمايتها، وشعور البغضاء لعباد الله والرغبة في إذلالهم.,Good Moral: غَيْر,"['شعورين', 'شعور', 'الغيرة', 'حرمات', 'الله', 'الرغبة', 'حمايتها', 'شعور', 'البغضاا', 'لعباد', 'الله', 'الرغبة', 'إذلالهم']",شعورين شعور غير حرم الله رغب حماي شعور البغضاا عباد الله رغب إذلال,"['شعورين', 'شعور', 'غير', 'حرم', 'الله', 'رغب', 'حماي', 'شعور', 'البغضاا', 'عباد', 'الله', 'رغب', 'إذلال']"
الغيرة تشوّش العقل، ولا تسمح بالتفكير المتعقل، مثلها مثل الخمر.,Good Moral: غَيْر,"['الغيرة', 'تشوش', 'العقل', 'تسمح', 'بالتفكير', 'المتعقل', 'مثلها', 'الخمر']",غير تشوش عقل سمح تفكير متعقل مثل خمر,"['غير', 'تشوش', 'عقل', 'سمح', 'تفكير', 'متعقل', 'مثل', 'خمر']"
إنّ الغيرة ليست مسألة في العادة، بل إنها بالأحرى. كيف أعبر عن ذلك؟,Good Moral: غَيْر,"['الغيرة', 'مسألة', 'العادة', 'إنها', 'بالأحرى', 'أعبر']",غير مسال عاد آن أحرى عبر,"['غير', 'مسال', 'عاد', 'آن', 'أحرى', 'عبر']"
إنها أكثر جوهرية من ذلك؛ إنها تعتمد على معرفة المرء بأن حبه غير متبادل.,Blameworthy Moral: ذُلّ,"['إنها', 'جوهرية', 'إنها', 'تعتمد', 'معرفة', 'المرا', 'بأن', 'حبه', 'متبادل']",آن جوهر آن عتمد معرف مرآ بأن حب متبادل,"['آن', 'جوهر', 'آن', 'عتمد', 'معرف', 'مرآ', 'بأن', 'حب', 'متبادل']"
وهكذا يستمر المرء في الانتظار والترقب والتوقع منتظراً أن يتحول المحبوب إلى شخص آخر.,Sentiment: neutral,"['يستمر', 'المرا', 'الانتظار', 'الترقب', 'التوقع', 'منتظرا', 'يتحول', 'المحبوب', 'شخص', 'آخر']",ستمر مرآ ٱنتظار ترقب توقع منتظر تحول محبوب شخص آخر,"['ستمر', 'مرآ', 'ٱنتظار', 'ترقب', 'توقع', 'منتظر', 'تحول', 'محبوب', 'شخص', 'آخر']"
الغيرة كثُرتها تجعل منكِ امرأة متسلطة ومزعجة ولستِ واثقة بنفسك ولا برجَلُك وقِلتها تجعلك أنثى باردة تتخلى عن أحد غرائزها الأنثوية كي لا تبدو ضعيفة ولكن الغيرة المحببة له هي التي تشعره برجولته وبها تجدد الحب بينكم والرجل الضعيف هو من لا يتحسس لمشاعر امرأته ويقول ويفعل ما يحلو له دون أن يعطي أدنى اهتمام لكرامتها فبلا شك سيدي ستتخلى عنك إذا حاولت أن تثير جنونها.,Good Moral: غَيْر,"['الغيرة', 'كثرتها', 'تجعل', 'منك', 'امرأة', 'متسلطة', 'مزعجة', 'اثقة', 'بنفسك', 'برجلك', 'قلتها', 'تجعلك', 'أنثى', 'باردة', 'تتخلى', 'غرائزها', 'الأنثوية', 'تبدو', 'ضعيفة', 'الغيرة', 'المحببة', 'تشعره', 'برجولته', 'تجدد', 'الحب', 'بينكم', 'الرجل', 'الضعيف', 'يتحسس', 'لمشاعر', 'امرأته', 'يقول', 'يفعل', 'يحلو', 'يعطي', 'أدنى', 'اهتمام', 'لكرامتها', 'فبلا', 'شك', 'سيدي', 'ستتخلى', 'عنك', 'حاولت', 'تثير', 'جنونها']",غير كثر جعل من آمر متسلطة مزعج ثق نفس برجل قل جعل أنثى بارد تخل غرائزها أنثوي بدو ضعيف غير محبب شعر رجول تجدد حب بين رجل ضعيف تحسس مشاعر آمر قول فعل حلو عطي أد ٱهتمام كرام بل شك سيد تخل عن حاول ثير جنون,"['غير', 'كثر', 'جعل', 'من', 'آمر', 'متسلطة', 'مزعج', 'ثق', 'نفس', 'برجل', 'قل', 'جعل', 'أنثى', 'بارد', 'تخل', 'غرائزها', 'أنثوي', 'بدو', 'ضعيف', 'غير', 'محبب', 'شعر', 'رجول', 'تجدد', 'حب', 'بين', 'رجل', 'ضعيف', 'تحسس', 'مشاعر', 'آمر', 'قول', 'فعل', 'حلو', 'عطي', 'أد', 'ٱهتمام', 'كرام', 'بل', 'شك', 'سيد', 'تخل', 'عن', 'حاول', 'ثير', 'جنون']"
ما أحسنَ الغيرةَ في حينها.,Good Moral: غَيْر,"['أحسن', 'الغيرة', 'حينها']",أحسن غير حين,"['أحسن', 'غير', 'حين']"
وأقبحَ الغيرةَ في كُلِّ حينْ من لم يَزَلْ متهماً عِرْسَهُ.,Good Moral: غَيْر,"['أقبح', 'الغيرة', 'يزل', 'متهما', 'عرسه']",أقبح غير زل مت عرس,"['أقبح', 'غير', 'زل', 'مت', 'عرس']"
مناصباً فيها لريبِ المنونْ أو شكَ أن يغريَها بالذي، يَخَفُ أن يُبْرْزَها للعيونْ حَسْبُكَ من تَحْصينِها وضعُها، منكَ إِلى عِرْضٍ صحيحٍ ودينْ لا تطلعُ منكَ على ريبةٍ، فيتبع,Sentiment: neutral,"['مناصبا', 'لريب', 'المنون', 'شك', 'يغريها', 'بالذي', 'يخف', 'يبرزها', 'للعيون', 'حسبك', 'تحصينها', 'ضعها', 'منك', 'عرض', 'صحيح', 'دين', 'تطلع', 'منك', 'ريبة', 'فيتبع']",مناصبا ريب المنون شك غري بالذي خف برز عيون حسب تحصين ضعها من عرض صحيح دين تطلع من ريب تبع,"['مناصبا', 'ريب', 'المنون', 'شك', 'غري', 'بالذي', 'خف', 'برز', 'عيون', 'حسب', 'تحصين', 'ضعها', 'من', 'عرض', 'صحيح', 'دين', 'تطلع', 'من', 'ريب', 'تبع']"
شتان بين شعورين: شعور الغيرة على حرمات الله والرغبة في حمايتها، وشعور البغضاء لعباد الله والرغبة في إذلالهم.,Good Moral: غَيْر,"['شعورين', 'شعور', 'الغيرة', 'حرمات', 'الله', 'الرغبة', 'حمايتها', 'شعور', 'البغضاا', 'لعباد', 'الله', 'الرغبة', 'إذلالهم']",شعورين شعور غير حرم الله رغب حماي شعور البغضاا عباد الله رغب إذلال,"['شعورين', 'شعور', 'غير', 'حرم', 'الله', 'رغب', 'حماي', 'شعور', 'البغضاا', 'عباد', 'الله', 'رغب', 'إذلال']"
الغيرة مثل ألم الأسنان الحاد فهي لا تدع أي امرئ يتمكن من فعل أي شيء حتى أن يظل جالسا عليه أن يسير فقط جيئة وذهابا جيئة وذهابا.,Good Moral: غَيْر,"['الغيرة', 'ألم', 'الأسنان', 'الحاد', 'فهي', 'تدع', 'امرئ', 'يتمكن', 'فعل', 'شيا', 'يظل', 'جالسا', 'يسير', 'فقط', 'جيئة', 'ذهابا', 'جيئة', 'ذهابا']",غير ألم آسن إلحاد هي دع امرئ تم فعل شي ظل جالس يسير فقط جيئ ذهاب جيئ ذهاب,"['غير', 'ألم', 'آسن', 'إلحاد', 'هي', 'دع', 'امرئ', 'تم', 'فعل', 'شي', 'ظل', 'جالس', 'يسير', 'فقط', 'جيئ', 'ذهاب', 'جيئ', 'ذهاب']"
المرأة العاقلة لا تغار، قيل له ولماذا؟ قال: لأن الغيرة اعتراف بأن هناك امرأة أجمل منها.,Good Moral: غَيْر,"['المرأة', 'العاقلة', 'تغار', 'قيل', 'لماذا', 'قال', 'لأن', 'الغيرة', 'اعتراف', 'بأن', 'امرأة', 'أجمل']",مرآ عاقل غار قيل لماذا قال لأن غير ٱعتراف بأن آمر أجمل,"['مرآ', 'عاقل', 'غار', 'قيل', 'لماذا', 'قال', 'لأن', 'غير', 'ٱعتراف', 'بأن', 'آمر', 'أجمل']"
أغار عليك من عيني، وقلبي، ومنك ومن زمانك والمكان، ولو أني جعلتك في عيوني، إلى يوم القيامة ما كفاني.,Sentiment: positive,"['أغار', 'عيني', 'قلبي', 'منك', 'زمانك', 'المكان', 'أني', 'جعلتك', 'عيوني', 'يوم', 'القيامة', 'كفاني']",أغار عين قلب من زمان مكان آن جعل عيون يوم قيام كف,"['أغار', 'عين', 'قلب', 'من', 'زمان', 'مكان', 'آن', 'جعل', 'عيون', 'يوم', 'قيام', 'كف']"
لقد أحببتُكِ بصمت، بلا أمل، بكل خجل، ومع ذلك مزّقتني الغيرة.,Blameworthy Moral: ذُلّ,"['لقد', 'أحببتك', 'بصمت', 'بلا', 'أمل', 'بكل', 'خجل', 'مزقتني', 'الغيرة']",لقد أحبب بصم بل أمل بكل خجل مزق غير,"['لقد', 'أحبب', 'بصم', 'بل', 'أمل', 'بكل', 'خجل', 'مزق', 'غير']"
لا تكره من يغار منك، بل احترم تلك الغيرة فيه، لأن غيرته ليست سوى اعترافه بأنك أفضل منه.,Good Moral: غَيْر,"['تكره', 'يغار', 'منك', 'احترم', 'الغيرة', 'لأن', 'غيرته', 'اعترافه', 'بأنك', 'أفضل']",تكره غار من ٱحترم غير لأن غير ٱعتراف بأن أفضل,"['تكره', 'غار', 'من', 'ٱحترم', 'غير', 'لأن', 'غير', 'ٱعتراف', 'بأن', 'أفضل']"
لا تخبروا الناس بكل شيء جميل تملكونه، ليس الجميع لديهم حسن النوايا، بل معظمهم لديه الحسد والغيرة.,Blameworthy Moral: حَسَد,"['تخبروا', 'الناس', 'بكل', 'شيا', 'جميل', 'تملكونه', 'الجميع', 'لديهم', 'حسن', 'النوايا', 'معظمهم', 'لديه', 'الحسد', 'الغيرة']",تخبر ناس بكل شي جميل ملك جميع لد حسن نوايا معظم لد حسد غير,"['تخبر', 'ناس', 'بكل', 'شي', 'جميل', 'ملك', 'جميع', 'لد', 'حسن', 'نوايا', 'معظم', 'لد', 'حسد', 'غير']"
المحبة قوية كالموت والغيرة قاسية كالقبر.,Good Moral: مُحِبّ,"['المحبة', 'قوية', 'كالموت', 'الغيرة', 'قاسية', 'كالقبر']",محب قوي موت غير قاس قبر,"['محب', 'قوي', 'موت', 'غير', 'قاس', 'قبر']"
ادعاء الحب أسوأ من الحقد.,Blameworthy Moral: الحقد,"['ادعاا', 'الحب', 'أسوأ', 'الحقد']",ادعاا حب أس حقد,"['ادعاا', 'حب', 'أس', 'حقد']"
الحقد لا يسكن قلب المؤمن.,Blameworthy Moral: الحقد,"['الحقد', 'يسكن', 'قلب', 'المامن']",حقد سك قلب مأمن,"['حقد', 'سك', 'قلب', 'مأمن']"
وفي كل عين عبرة مهراقة، وفي كل صدر حسرة وغليل.,Sentiment: negative,"['عبرة', 'مهراقة', 'صدر', 'حسرة', 'غليل']",عبر مهراق صدر حسر غليل,"['عبر', 'مهراق', 'صدر', 'حسر', 'غليل']"
عند الشدائد تذهب الأحقاد.,Sentiment: positive,"['الشدائد', 'تذهب', 'الأحقاد']",شدائد ذهب أحقاد,"['شدائد', 'ذهب', 'أحقاد']"
ذلوا بأسيافنا طول الزمان، فمذ تحكموا أظهروا أحقادهم فينا لم يغنهم ما لنا عن نهب أنفسنا كأنهم في أمان من تقاضينا.,Good Moral: أَمان,"['ذلوا', 'بأسيافنا', 'طول', 'الزمان', 'فمذ', 'تحكموا', 'أظهروا', 'أحقادهم', 'فينا', 'يغنهم', 'نهب', 'أنفسنا', 'كأنهم', 'أمان', 'تقاضينا']",ذلوا أسياف طول ألزم مذ تحكم أظهر أحقاد في غن نهب أنفس كأن أمان تقاضي,"['ذلوا', 'أسياف', 'طول', 'ألزم', 'مذ', 'تحكم', 'أظهر', 'أحقاد', 'في', 'غن', 'نهب', 'أنفس', 'كأن', 'أمان', 'تقاضي']"
وإن الضغن بعد الضغن يبدو عليك ويُخرج الداء الدفينات.,Sentiment: negative,"['الضغن', 'الضغن', 'يبدو', 'يخرج', 'الداا', 'الدفينات']",ضغن ضغن بدو خرج الداا دفين,"['ضغن', 'ضغن', 'بدو', 'خرج', 'الداا', 'دفين']"
لكي تتقي حقد الناس كن قاسياً على نفسك، وكريماً معهم.,Blameworthy Moral: حِقْد,"['تتقي', 'حقد', 'الناس', 'قاسيا', 'نفسك', 'كريما', 'معهم']",تق حقد ناس قاسي نفس كريم مع,"['تق', 'حقد', 'ناس', 'قاسي', 'نفس', 'كريم', 'مع']"
تحت سماء لوثها الحقد والدخان، ما نوع المخلوقات التي يمكن أن تتنفس وتتكاثر.,Blameworthy Moral: الحقد,"['سماا', 'لوثها', 'الحقد', 'الدخان', 'نوع', 'المخلوقات', 'يمكن', 'تتنفس', 'تتكاثر']",سماا لوث حقد دخان نوع مخلوق مكن تنفس تكاثر,"['سماا', 'لوث', 'حقد', 'دخان', 'نوع', 'مخلوق', 'مكن', 'تنفس', 'تكاثر']"
الحقد موجود داخل الإنسان كوحش نائم، فإذا أطعمه مرة طالب بالمزيد واشتد حتى يلتهم صاحبه.,Blameworthy Moral: الحقد,"['الحقد', 'موجود', 'داخل', 'الإنسان', 'كوحش', 'نائم', 'أطعمه', 'مرة', 'طالب', 'بالمزيد', 'اشتد', 'يلتهم', 'صاحبه']",حقد موجود داخل إنسان وحش نائم أطعم مر طالب مزيد ٱشتد لت صاحب,"['حقد', 'موجود', 'داخل', 'إنسان', 'وحش', 'نائم', 'أطعم', 'مر', 'طالب', 'مزيد', 'ٱشتد', 'لت', 'صاحب']"
في العالم أكداس من الكراهية والحقد لا بد من تصفيتها.,Blameworthy Moral: الحقد,"['العالم', 'أكداس', 'الكراهية', 'الحقد', 'بد', 'تصفيتها']",عالم أكداس كراهي حقد بد تصفي,"['عالم', 'أكداس', 'كراهي', 'حقد', 'بد', 'تصفي']"
كانت تفصل بينهما مسافات طويلة من الحقد والمرارة.,Blameworthy Moral: الحقد,"['كانت', 'تفصل', 'بينهما', 'مسافات', 'طويلة', 'الحقد', 'المرارة']",كان فصل بين مساف طويل حقد مرار,"['كان', 'فصل', 'بين', 'مساف', 'طويل', 'حقد', 'مرار']"
إن الحقد لا ينصر قضية، فالقضايا التي تنتصر هي ذات الأسباب الواضحة.,Blameworthy Moral: الحقد,"['الحقد', 'ينصر', 'قضية', 'فالقضايا', 'تنتصر', 'الأسباب', 'الواضحة']",حقد نصر قضي قضايا نتصر أسباب واضح,"['حقد', 'نصر', 'قضي', 'قضايا', 'نتصر', 'أسباب', 'واضح']"
درجة الحقد والتعصب السياسي تتناسب طردياً مع مقدار العدوانية الكامنة في اللاوعي.,Blameworthy Moral: الحقد,"['درجة', 'الحقد', 'التعصب', 'السياسي', 'تتناسب', 'طرديا', 'مقدار', 'العدوانية', 'الكامنة', 'اللاوعي']",درج حقد تعصب سياسي تناسب طردي مقدار عدواني كامن لاوعي,"['درج', 'حقد', 'تعصب', 'سياسي', 'تناسب', 'طردي', 'مقدار', 'عدواني', 'كامن', 'لاوعي']"
الحسد مثل النار دائماً تستهدف أعلى النقاط. ما يثير في الناس الحسد ما لا يستطيعون هم أنفسهم أن يتمتعوا به.,Blameworthy Moral: حَسَد,"['الحسد', 'النار', 'دائما', 'تستهدف', 'أعلى', 'النقاط', 'يثير', 'الناس', 'الحسد', 'يستطيعون', 'أنفسهم', 'يتمتعوا']",حسد نار دائم ستهدف أعلى نقاط ثير ناس حسد ستطيع أنفس تمتع,"['حسد', 'نار', 'دائم', 'ستهدف', 'أعلى', 'نقاط', 'ثير', 'ناس', 'حسد', 'ستطيع', 'أنفس', 'تمتع']"
لله در الحسد ما أعدله، بدأ بصاحبه فقتله. يمكنني أن أرضى الناس كلهم إلا حاسد نعمة، فإنه لا يرضيه إلا زوالها.,Blameworthy Moral: حَسَد,"['لله', 'در', 'الحسد', 'أعدله', 'بدأ', 'بصاحبه', 'فقتله', 'يمكنني', 'أرضى', 'الناس', 'كلهم', 'حاسد', 'نعمة', 'فإنه', 'يرضيه', 'زوالها']",لله در حسد أعدل بد صاحب قتل مكن أرض ناس كل حاسد نعم آن رضي زوال,"['لله', 'در', 'حسد', 'أعدل', 'بد', 'صاحب', 'قتل', 'مكن', 'أرض', 'ناس', 'كل', 'حاسد', 'نعم', 'آن', 'رضي', 'زوال']"
الحاسد يصوّب على الآخرين ويجرح نفسه,Sentiment: negative,"['الحاسد', 'يصوب', 'الآخرين', 'يجرح', 'نفسه']",حاسد صوب آخر جرح نفس,"['حاسد', 'صوب', 'آخر', 'جرح', 'نفس']"
كُن مُنصفاً في حقِ نفسك، وأسعى لأن تحيا حياةً سعيدة.,Sentiment: positive,"['منصفا', 'حق', 'نفسك', 'أسعى', 'لأن', 'تحيا', 'حياة', 'سعيدة']",منصف حق نفس سعى لأن حي حي سعيد,"['منصف', 'حق', 'نفس', 'سعى', 'لأن', 'حي', 'حي', 'سعيد']"
لا تيأس، فاليأسُ لا يليقُ بك ولا الاستسلام ثوباً تستطيع ارتداؤه.,Sentiment: positive,"['تيأس', 'فاليأس', 'يليق', 'الاستسلام', 'ثوبا', 'تستطيع', 'ارتدااه']",يأس إلياس ليق ٱستسلام ثوب ستطيع ارتدااه,"['يأس', 'إلياس', 'ليق', 'ٱستسلام', 'ثوب', 'ستطيع', 'ارتدااه']"
أن تطعم فمك ملح، خير من أن يطعمك أحدهم الشهد.,Sentiment: positive,"['تطعم', 'فمك', 'ملح', 'خير', 'يطعمك', 'أحدهم', 'الشهد']",تطعم فم ملح خير طعم أحد الشهد,"['تطعم', 'فم', 'ملح', 'خير', 'طعم', 'أحد', 'الشهد']"
العمل عبادة وسعادة وراحة وكرم للذات.,Sentiment: positive,"['العمل', 'عبادة', 'سعادة', 'راحة', 'كرم', 'للذات']",عمل عباد سعاد راح كرم لذ,"['عمل', 'عباد', 'سعاد', 'راح', 'كرم', 'لذ']"
اجتهد قدر ما تحب أن تبقى.,Sentiment: positive,"['اجتهد', 'قدر', 'تحب', 'تبقى']",ٱجتهد قدر حب تبقى,"['ٱجتهد', 'قدر', 'حب', 'تبقى']"
ترى الأعزة دائماً يجتهدوا، فلا يخيفهم شيء إلا الذل للناس.,Blameworthy Moral: ذُلّ,"['ترى', 'الأعزة', 'دائما', 'يجتهدوا', 'يخيفهم', 'شيا', 'الذل', 'للناس']",ترى أعز دائم جتهد خيف شي ذل ناس,"['ترى', 'أعز', 'دائم', 'جتهد', 'خيف', 'شي', 'ذل', 'ناس']"
اجتهد قدر المستطاع، فكل خطوة صغيرة ستكون حجرة في بناء ذاتك.,Sentiment: positive,"['اجتهد', 'قدر', 'المستطاع', 'فكل', 'خطوة', 'صغيرة', 'ستكون', 'حجرة', 'بناا', 'ذاتك']",ٱجتهد قدر مستطاع كل خط صغير كون حجر بناا ذات,"['ٱجتهد', 'قدر', 'مستطاع', 'كل', 'خط', 'صغير', 'كون', 'حجر', 'بناا', 'ذات']"
الاجتهاد سلم النجاح، فمن أراد يجب عليه أن يبنيه ثم يصعد.,Sentiment: positive,"['الاجتهاد', 'سلم', 'النجاح', 'أراد', 'يجب', 'يبنيه', 'يصعد']",ٱجتهاد سلم نجاح أراد جب بني صعد,"['ٱجتهاد', 'سلم', 'نجاح', 'أراد', 'جب', 'بني', 'صعد']"
من يبدأ مبكراً، يصل قبل فوات الأوان.,Sentiment: negative,"['يبدأ', 'مبكرا', 'يصل', 'فوات', 'الأوان']",بد مبكر صل فوات أوان,"['بد', 'مبكر', 'صل', 'فوات', 'أوان']"
العظماء هم أصحاب الأفكار الجديدة، أما النسخ للمسخ,Sentiment: neutral,"['العظماا', 'أصحاب', 'الأفكار', 'الجديدة', 'النسخ', 'للمسخ']",العظماا أصحاب أفكار جديد نسخ مسخ,"['العظماا', 'أصحاب', 'أفكار', 'جديد', 'نسخ', 'مسخ']"
