Citation,Manner,Cleaned_Citation,Stemmed_tokens,Tokenized_Citation,Stemmed_tokens2,Stemmed_tokenss
يسود الظلام دون وجود الرحمة,Good Moral: الرحمة,"['يسود', 'الظلام', 'جود', 'الرحمة']",سود ظلام جود رحم,"['سود', 'ظلام', 'جود', 'رحم']","['سُود', 'ظَلام', 'جود', 'رَحِم']",سُود ظَلام جود رَحِم
تثمر الحياة خيراً بالرحمة,Good Moral: الرحمة,"['تثمر', 'الحياة', 'خيرا', 'بالرحمة']",ثمر ألحي خير رحم,"['ثمر', 'ألحي', 'خير', 'رحم']","['ثَمَر', 'أَلْحَى', 'خَيْر', 'رَحِم']",ثَمَر أَلْحَى خَيْر رَحِم
لا نطلب من الله سوى أن يحفظ الرحمة في قلوبنا، في عالمٍ امتلأ بالقسوة والظلم,Good Moral: الرحمة,"['نطلب', 'الله', 'يحفظ', 'الرحمة', 'قلوبنا', 'عالم', 'امتلأ', 'بالقسوة', 'الظلم']",طلب الله حفظ رحم قلوب عالم ٱمتل قسو ظلم,"['طلب', 'الله', 'حفظ', 'رحم', 'قلوب', 'عالم', 'ٱمتل', 'قسو', 'ظلم']","['طَلَب', 'اللّٰه', 'حِفْظ', 'رَحِم', 'قُلُوب', 'عالَم', 'ٱِمْتَلّ', 'قَسْو', 'ظُلْم']",طَلَب اللّٰه حِفْظ رَحِم قُلُوب عالَم ٱِمْتَلّ قَسْو ظُلْم
لولا رأفة الله بقلوبنا ورحمته، لما تحملنا فراق الأحبة عند الموت,Good Moral: رَحْم,"['رأفة', 'الله', 'بقلوبنا', 'رحمته', 'تحملنا', 'فراق', 'الأحبة', 'الموت']",رأف الله قلوب رحم تحمل فراق أحب موت,"['رأف', 'الله', 'قلوب', 'رحم', 'تحمل', 'فراق', 'أحب', 'موت']","['رَأَف', 'اللّٰه', 'قُلُوب', 'رَحِم', 'تَحَمُّل', 'فِراق', 'أَحَبّ', 'مَوْت']",رَأَف اللّٰه قُلُوب رَحِم تَحَمُّل فِراق أَحَبّ مَوْت
الرحمة من مكارم الأخلاق، فلا يليق بإنسان أن يكون قاسياً.,Good Moral: الرحمة,"['الرحمة', 'مكارم', 'الأخلاق', 'يليق', 'بإنسان', 'يكون', 'قاسيا']",رحم مكارم أخلاق ليق إنسان يكون قاسي,"['رحم', 'مكارم', 'أخلاق', 'ليق', 'إنسان', 'يكون', 'قاسي']","['رَحِم', 'مَكارِم', 'أَخْلاق', 'لَيْق', 'أَنْسَأ', 'يَكُون', 'قاس']",رَحِم مَكارِم أَخْلاق لَيْق أَنْسَأ يَكُون قاس
أرفق بمن حولك، واجعل في قلبك ليناً، فأنت لست جبلاً.,Sentiment: positive,"['أرفق', 'حولك', 'اجعل', 'قلبك', 'لينا', 'فأنت', 'جبلا']",أرفق حول جعل قلب لي أن جبل,"['أرفق', 'حول', 'جعل', 'قلب', 'لي', 'أن', 'جبل']","['أَرْفَق', 'حَوْلَ', 'جَعَل', 'قَلَّب', 'لَيّ', 'أَن', 'جَبَل']",أَرْفَق حَوْلَ جَعَل قَلَّب لَيّ أَن جَبَل
أختر لنفسك صديق واحد على الأقل لين القلب رحيم.,Sentiment: positive,"['أختر', 'لنفسك', 'صديق', 'احد', 'الأقل', 'لين', 'القلب', 'رحيم']",ختر نفس صديق أحد أقل لين قلب رحيم,"['ختر', 'نفس', 'صديق', 'أحد', 'أقل', 'لين', 'قلب', 'رحيم']","['خَتَر', 'نَفَس', 'صِدِّيق', 'أَحَّد', 'أَقَلّ', 'لَيَّن', 'قَلَّب', 'رَحِيم']",خَتَر نَفَس صِدِّيق أَحَّد أَقَلّ لَيَّن قَلَّب رَحِيم
من لان قلبه وأقترب دمعه، وشعر بغيره، يستحق أن يكون إنسان.,Good Moral: غَيْر,"['لان', 'قلبه', 'أقترب', 'دمعه', 'شعر', 'بغيره', 'يستحق', 'يكون', 'إنسان']",لأن قلب ٱقترب دمع شعر غير ستحق يكون أنسأ,"['لأن', 'قلب', 'ٱقترب', 'دمع', 'شعر', 'غير', 'ستحق', 'يكون', 'أنسأ']","['لِأَن', 'قَلَّب', 'ٱِقْتَرَب', 'دَمَع', 'شَعَر', 'غَيْر', 'حِقّ', 'يَكُون', 'آنَس']",لِأَن قَلَّب ٱِقْتَرَب دَمَع شَعَر غَيْر حِقّ يَكُون آنَس
الله ينظر لقلوب الناس، وأجمل ما يرى فيها نقائهم ورحمتهم بغيرهم.,Good Moral: رَحْم,"['الله', 'ينظر', 'لقلوب', 'الناس', 'أجمل', 'يرى', 'نقائهم', 'رحمتهم', 'بغيرهم']",الله نظر قلوب ناس أجمل ري نقائ رحم غير,"['الله', 'نظر', 'قلوب', 'ناس', 'أجمل', 'ري', 'نقائ', 'رحم', 'غير']","['اللّٰه', 'نَظَر', 'قُلُوب', 'ناس', 'أَجْمَل', 'رَيّ', 'نقائ', 'رَحِم', 'غَيْر']",اللّٰه نَظَر قُلُوب ناس أَجْمَل رَيّ نقائ رَحِم غَيْر
القسوة صفة شيطانية، فأبتعد عن القاسين، فمعاشرتهم تدمر.,Sentiment: negative,"['القسوة', 'صفة', 'شيطانية', 'فأبتعد', 'القاسين', 'فمعاشرتهم', 'تدمر']",قسو صف شيطان ٱبتعد قاس معاشر تدمر,"['قسو', 'صف', 'شيطان', 'ٱبتعد', 'قاس', 'معاشر', 'تدمر']","['قَسْو', 'صَفّ', 'شَيْطان', 'ٱِبْتَعَد', 'قاس', 'مُعاشِر', 'تَدْمُر']",قَسْو صَفّ شَيْطان ٱِبْتَعَد قاس مُعاشِر تَدْمُر
صادق من تجد في قلبه الحب والرحمة.,Good Moral: الرحمة,"['صادق', 'تجد', 'قلبه', 'الحب', 'الرحمة']",صادق جد قلب حب رحم,"['صادق', 'جد', 'قلب', 'حب', 'رحم']","['صادِق', 'جَدّ', 'قَلَّب', 'حُبّ', 'رَحِم']",صادِق جَدّ قَلَّب حُبّ رَحِم
رحيم القلب، من لا يهون عليه غيره، يجازى خيراً وحباً,Good Moral: غَيْر,"['رحيم', 'القلب', 'يهون', 'غيره', 'يجازى', 'خيرا', 'حبا']",رحيم قلب هون غير جازي خير حب,"['رحيم', 'قلب', 'هون', 'غير', 'جازي', 'خير', 'حب']","['رَحِيم', 'قَلَّب', 'هَوْن', 'غَيْر', 'جاز', 'خَيْر', 'حُبّ']",رَحِيم قَلَّب هَوْن غَيْر جاز خَيْر حُبّ
مات قيمة الحياة دون رحمة.,Good Moral: رَحْم,"['مات', 'قيمة', 'الحياة', 'رحمة']",مات قيم ألحي رحم,"['مات', 'قيم', 'ألحي', 'رحم']","['مات', 'قَيِّم', 'أَلْحَى', 'رَحِم']",مات قَيِّم أَلْحَى رَحِم
أطلق لقلبك حرية الحب، فالقلوب بالطبع نقية.,Sentiment: positive,"['أطلق', 'لقلبك', 'حرية', 'الحب', 'فالقلوب', 'بالطبع', 'نقية']",أطلق قلب حر حب قلوب بالطبع نقي,"['أطلق', 'قلب', 'حر', 'حب', 'قلوب', 'بالطبع', 'نقي']","['أَطْلَق', 'قَلَّب', 'حَرّ', 'حُبّ', 'قُلُوب', 'بِالطَبْع', 'نَقّ']",أَطْلَق قَلَّب حَرّ حُبّ قُلُوب بِالطَبْع نَقّ
الطف بمن حولك وأنتظر لطف الله.,Sentiment: negative,"['الطف', 'حولك', 'أنتظر', 'لطف', 'الله']",ألطف حول ٱنتظر لطف الله,"['ألطف', 'حول', 'ٱنتظر', 'لطف', 'الله']","['أَلْطَف', 'حَوْلَ', 'ٱِنْتَظَر', 'لَطَف', 'اللّٰه']",أَلْطَف حَوْلَ ٱِنْتَظَر لَطَف اللّٰه
أغبى البشر من يحقد ويحسد ويتمنى لغيره شراً.,Sentiment: negative,"['أغبى', 'البشر', 'يحقد', 'يحسد', 'يتمنى', 'لغيره', 'شرا']",أغبى بشر حقد حسد تم غير شر,"['أغبى', 'بشر', 'حقد', 'حسد', 'تم', 'غير', 'شر']","['أَغْبَى', 'بَشَر', 'حِقْد', 'حَسَد', 'تَمّ', 'غَيْر', 'شَرّ']",أَغْبَى بَشَر حِقْد حَسَد تَمّ غَيْر شَرّ
التمس للناس عذراً، فهذا أعظم لين.,Sentiment: positive,"['التمس', 'للناس', 'عذرا', 'فهذا', 'أعظم', 'لين']",ٱلتمس ناس عذر هذا أعظم لين,"['ٱلتمس', 'ناس', 'عذر', 'هذا', 'أعظم', 'لين']","['ٱِلْتَمَس', 'ناس', 'عُذْر', 'هٰذا', 'أَعْظَم', 'لَيَّن']",ٱِلْتَمَس ناس عُذْر هٰذا أَعْظَم لَيَّن
لا تكن قاسياً على من تحب، فيرحل عنك.,Sentiment: neutral,"['تكن', 'قاسيا', 'تحب', 'فيرحل', 'عنك']",كن قاسي حب رحل عن,"['كن', 'قاسي', 'حب', 'رحل', 'عن']","['كُن', 'قاس', 'حُبّ', 'رَحْل', 'عَن']",كُن قاس حُبّ رَحْل عَن
الرحمة صفة عظيمة، فالقلوب الرحيمة كالندى تسعد غيرها.,Good Moral: الرحمة,"['الرحمة', 'صفة', 'عظيمة', 'فالقلوب', 'الرحيمة', 'كالندى', 'تسعد', 'غيرها']",رحم صف عظيم قلوب رحيم ندي سعد غير,"['رحم', 'صف', 'عظيم', 'قلوب', 'رحيم', 'ندي', 'سعد', 'غير']","['رَحِم', 'صَفّ', 'عَظِيم', 'قُلُوب', 'رَحِيم', 'نِدّ', 'سَعِد', 'غَيْر']",رَحِم صَفّ عَظِيم قُلُوب رَحِيم نِدّ سَعِد غَيْر
لا تثق في القاسية قلوبهم أبداً.,Sentiment: negative,"['تثق', 'القاسية', 'قلوبهم']",ثق قاسي قلوب,"['ثق', 'قاسي', 'قلوب']","['ثق', 'قاس', 'قُلُوب']",ثق قاس قُلُوب
انتظر الرحمة من الله فقط لا تنتظرها من بشر,Good Moral: الرحمة,"['انتظر', 'الرحمة', 'الله', 'فقط', 'تنتظرها', 'بشر']",ٱنتظر رحم الله فقط نتظر بشر,"['ٱنتظر', 'رحم', 'الله', 'فقط', 'نتظر', 'بشر']","['ٱِنْتَظَر', 'رَحِم', 'اللّٰه', 'فَقَط', 'نتظر', 'بَشَر']",ٱِنْتَظَر رَحِم اللّٰه فَقَط نتظر بَشَر
الرحمة تجلب السلام والبهجة للآخرين,Good Moral: الرحمة,"['الرحمة', 'تجلب', 'السلام', 'البهجة', 'للآخرين']",رحم جلب سلام بهج آخر,"['رحم', 'جلب', 'سلام', 'بهج', 'آخر']","['رَحِم', 'جَلَب', 'سَلّام', 'بَهِج', 'آخَر']",رَحِم جَلَب سَلّام بَهِج آخَر
نسير في طرقات حياتنا، واثقين بأن رحمة الله ترافق دروبنا,Good Moral: رَحْم,"['نسير', 'طرقات', 'حياتنا', 'اثقين', 'بأن', 'رحمة', 'الله', 'ترافق', 'دروبنا']",سير طرق حي اثقين بأن رحم الله ترافق دروب,"['سير', 'طرق', 'حي', 'اثقين', 'بأن', 'رحم', 'الله', 'ترافق', 'دروب']","['سَيْر', 'طَرَّق', 'حَيَّ', 'اثقين', 'بِأَنَّ', 'رَحِم', 'اللّٰه', 'تَرافَق', 'دُرُوب']",سَيْر طَرَّق حَيَّ اثقين بِأَنَّ رَحِم اللّٰه تَرافَق دُرُوب
لأن الله رحمن رحيماً، تأكد أن قلبك المكسور سيجبره الله برحمته,Good Moral: رَحْم,"['لأن', 'الله', 'رحمن', 'رحيما', 'تأكد', 'قلبك', 'المكسور', 'سيجبره', 'الله', 'برحمته']",لأن الله رحم رحيم تأكد قلب مكسور جبر الله رحم,"['لأن', 'الله', 'رحم', 'رحيم', 'تأكد', 'قلب', 'مكسور', 'جبر', 'الله', 'رحم']","['لِأَن', 'اللّٰه', 'رَحِم', 'رَحِيم', 'تَأَكَّد', 'قَلَّب', 'مَكْسُور', 'جَبْر', 'اللّٰه', 'رَحِم']",لِأَن اللّٰه رَحِم رَحِيم تَأَكَّد قَلَّب مَكْسُور جَبْر اللّٰه رَحِم
إن الهدف من الرحمة، هو تجاوز مشاكل الحياة,Good Moral: الرحمة,"['الهدف', 'الرحمة', 'تجاوز', 'مشاكل', 'الحياة']",هدف رحم تجاوز مشاكل ألحي,"['هدف', 'رحم', 'تجاوز', 'مشاكل', 'ألحي']","['هَدَف', 'رَحِم', 'تَجاوَز', 'مَشاكِل', 'أَلْحَى']",هَدَف رَحِم تَجاوَز مَشاكِل أَلْحَى
الرحمة هي الطريق الأقصر لقلوب البشر,Good Moral: الرحمة,"['الرحمة', 'الطريق', 'الأقصر', 'لقلوب', 'البشر']",رحم طريق أقصر قلوب بشر,"['رحم', 'طريق', 'أقصر', 'قلوب', 'بشر']","['رَحِم', 'طَرِيق', 'أُقْصُر', 'قُلُوب', 'بَشَر']",رَحِم طَرِيق أُقْصُر قُلُوب بَشَر
حتى وإن انعدمت الرحمة من قلوب البشر لا تيأس فرحمه الله أوسع من العالمين,Good Moral: الرحمة,"['انعدمت', 'الرحمة', 'قلوب', 'البشر', 'تيأس', 'فرحمه', 'الله', 'أوسع', 'العالمين']",ٱنعدم رحم قلوب بشر يأس رحم الله أوسع عالم,"['ٱنعدم', 'رحم', 'قلوب', 'بشر', 'يأس', 'رحم', 'الله', 'أوسع', 'عالم']","['ٱِنْعَدَم', 'رَحِم', 'قُلُوب', 'بَشَر', 'يَأْس', 'رَحِم', 'اللّٰه', 'أَوْسَع', 'عالَم']",ٱِنْعَدَم رَحِم قُلُوب بَشَر يَأْس رَحِم اللّٰه أَوْسَع عالَم
وما من رحمةٍ في قلب إنسان إلا وكان الله من زرعها فيه,Good Moral: رَحْم,"['رحمة', 'قلب', 'إنسان', 'الله', 'زرعها']",رحم قلب أنسأ الله زرع,"['رحم', 'قلب', 'أنسأ', 'الله', 'زرع']","['رَحِم', 'قَلَّب', 'آنَس', 'اللّٰه', 'زَرَع']",رَحِم قَلَّب آنَس اللّٰه زَرَع
تسكن الرحمة أصحاب القلوب الطيبة النيرة النقية,Good Moral: الرحمة,"['تسكن', 'الرحمة', 'أصحاب', 'القلوب', 'الطيبة', 'النيرة', 'النقية']",سك رحم أصحاب قلوب طيب نير نقي,"['سك', 'رحم', 'أصحاب', 'قلوب', 'طيب', 'نير', 'نقي']","['سُكّ', 'رَحِم', 'أَصْحاب', 'قُلُوب', 'طَيِّب', 'نِير', 'نَقّ']",سُكّ رَحِم أَصْحاب قُلُوب طَيِّب نِير نَقّ
من الإنسانية أن ترحم الحيوان ولا تؤذيه، بل تطعمه وتسقيه,Sentiment: positive,"['الإنسانية', 'ترحم', 'الحيوان', 'تاذيه', 'تطعمه', 'تسقيه']",إنساني ترحم حيوان أذ تطعم سق,"['إنساني', 'ترحم', 'حيوان', 'أذ', 'تطعم', 'سق']","['أَنَّس', 'تَرَحَّم', 'حَيَوان', 'إِذ', 'تَطَعَّم', 'سق']",أَنَّس تَرَحَّم حَيَوان إِذ تَطَعَّم سق
حافظ على نقاء قلبك كي لا تموت به الرحمة,Good Moral: الرحمة,"['حافظ', 'نقاا', 'قلبك', 'تموت', 'الرحمة']",حافظ نقاا قلب موت رحم,"['حافظ', 'نقاا', 'قلب', 'موت', 'رحم']","['حافِظ', 'نقاا', 'قَلَّب', 'مَوْت', 'رَحِم']",حافِظ نقاا قَلَّب مَوْت رَحِم
حينما يقسو عليك أحدهم فتش عن الرحمة في أعماق قلبه علَّك تجدها,Good Moral: الرحمة,"['حينما', 'يقسو', 'أحدهم', 'فتش', 'الرحمة', 'أعماق', 'قلبه', 'علك', 'تجدها']",حينما قسو أحد فتش رحم أعماق قلب عل جد,"['حينما', 'قسو', 'أحد', 'فتش', 'رحم', 'أعماق', 'قلب', 'عل', 'جد']","['حِينَما', 'قَسْو', 'أَحَّد', 'فَتَّش', 'رَحِم', 'أَعْماق', 'قَلَّب', 'عَلَّ', 'جَدّ']",حِينَما قَسْو أَحَّد فَتَّش رَحِم أَعْماق قَلَّب عَلَّ جَدّ
الرحمة غاية الإنسانية ومبتغاها,Good Moral: الرحمة,"['الرحمة', 'غاية', 'الإنسانية', 'مبتغاها']",رحم غاي إنساني مبتغا,"['رحم', 'غاي', 'إنساني', 'مبتغا']","['رَحِم', 'غاي', 'أَنَّس', 'مبتغا']",رَحِم غاي أَنَّس مبتغا
في كل محنةٍ يمر بها إنسان، كثيرٌ من الرحمة مخبأةٌ بين ثنايا مصيبته,Good Moral: الرحمة,"['محنة', 'يمر', 'إنسان', 'كثير', 'الرحمة', 'مخبأة', 'ثنايا', 'مصيبته']",مح مر أنسأ كثير رحم مخبآ ثنايا مصيب,"['مح', 'مر', 'أنسأ', 'كثير', 'رحم', 'مخبآ', 'ثنايا', 'مصيب']","['مُحّ', 'مَرّ', 'آنَس', 'كَثِير', 'رَحِم', 'مَخْبَآ', 'ثَنايا', 'مصيب']",مُحّ مَرّ آنَس كَثِير رَحِم مَخْبَآ ثَنايا مصيب
أحب إنساناً على قلوب الناس، أرحمهم للناس,Sentiment: positive,"['أحب', 'إنسانا', 'قلوب', 'الناس', 'أرحمهم', 'للناس']",أحب أنس قلوب ناس رحم ناس,"['أحب', 'أنس', 'قلوب', 'ناس', 'رحم', 'ناس']","['أَحَبّ', 'آنَس', 'قُلُوب', 'ناس', 'رَحِم', 'ناس']",أَحَبّ آنَس قُلُوب ناس رَحِم ناس
أمشي في طريق الرحمة، فهي الطريق الأقصر للجنة,Good Moral: الرحمة,"['أمشي', 'طريق', 'الرحمة', 'فهي', 'الطريق', 'الأقصر', 'للجنة']",أمشى طريق رحم هي طريق أقصر لجن,"['أمشى', 'طريق', 'رحم', 'هي', 'طريق', 'أقصر', 'لجن']","['أَمْشَى', 'طَرِيق', 'رَحِم', 'هِيَ', 'طَرِيق', 'أُقْصُر', 'لَجِن']",أَمْشَى طَرِيق رَحِم هِيَ طَرِيق أُقْصُر لَجِن
الرحمة بالرحمة والبادئ يلقى أجراً عظيماً,Good Moral: الرحمة,"['الرحمة', 'بالرحمة', 'البادئ', 'يلقى', 'أجرا', 'عظيما']",رحم رحم بادئ لقى أجر عظيم,"['رحم', 'رحم', 'بادئ', 'لقى', 'أجر', 'عظيم']","['رَحِم', 'رَحِم', 'بادِئ', 'لَقَى', 'أُجَر', 'عَظِيم']",رَحِم رَحِم بادِئ لَقَى أُجَر عَظِيم
كن مع الناس رحيماً، يكون الله معك,Sentiment: positive,"['الناس', 'رحيما', 'يكون', 'الله', 'معك']",ناس رحيم يكون الله مع,"['ناس', 'رحيم', 'يكون', 'الله', 'مع']","['ناس', 'رَحِيم', 'يَكُون', 'اللّٰه', 'مَعَ']",ناس رَحِيم يَكُون اللّٰه مَعَ
يتلاشى التراحم عندما يقسو قلب الإنسان,Sentiment: negative,"['يتلاشى', 'التراحم', 'عندما', 'يقسو', 'قلب', 'الإنسان']",تلاشى التراحم عندم قسو قلب إنسان,"['تلاشى', 'التراحم', 'عندم', 'قسو', 'قلب', 'إنسان']","['تَلاشِي', 'التراحم', 'عَنْدَم', 'قَسْو', 'قَلَّب', 'أَنْسَأ']",تَلاشِي التراحم عَنْدَم قَسْو قَلَّب أَنْسَأ
الاستمرار في الحياة دون وجود التراحم بين الناس أمرٌ صعبٌ للغاية,Sentiment: negative,"['الاستمرار', 'الحياة', 'جود', 'التراحم', 'الناس', 'أمر', 'صعب', 'للغاية']",ٱستمرار ألحي جود التراحم ناس آمر صعب للغاية,"['ٱستمرار', 'ألحي', 'جود', 'التراحم', 'ناس', 'آمر', 'صعب', 'للغاية']","['ٱِسْتِمْرار', 'أَلْحَى', 'جود', 'التراحم', 'ناس', 'آمِر', 'صَعْب', 'لِلْغايَة']",ٱِسْتِمْرار أَلْحَى جود التراحم ناس آمِر صَعْب لِلْغايَة
التراحم بين العشاق قد يكون أهم من الحب أحياناً,Sentiment: positive,"['التراحم', 'العشاق', 'يكون', 'أهم', 'الحب', 'أحيانا']",التراحم عشاق يكون أهم حب أحيا,"['التراحم', 'عشاق', 'يكون', 'أهم', 'حب', 'أحيا']","['التراحم', 'عُشّاق', 'يَكُون', 'أَهَمّ', 'حُبّ', 'حْيا']",التراحم عُشّاق يَكُون أَهَمّ حُبّ حْيا
رحم الله من سبقنا إلى دار البقاء، ورحمنا نحن هنا فنحن الأحوج للرحمة,Good Moral: رَحْم,"['رحم', 'الله', 'سبقنا', 'دار', 'البقاا', 'رحمنا', 'فنحن', 'الأحوج', 'للرحمة']",رحم الله سبق دار البقاا رحم نح أحوج رحم,"['رحم', 'الله', 'سبق', 'دار', 'البقاا', 'رحم', 'نح', 'أحوج', 'رحم']","['رَحِم', 'اللّٰه', 'سَبَّق', 'دار', 'البقاا', 'رَحِم', 'ح', 'أَحْوَج', 'رَحِم']",رَحِم اللّٰه سَبَّق دار البقاا رَحِم ح أَحْوَج رَحِم
انتهاء علاقاتنا مع بعض البشر رحمةٌ بنا من الله,Good Moral: رَحْم,"['انتهاا', 'علاقاتنا', 'البشر', 'رحمة', 'الله']",انتهاا علاق بشر رحم الله,"['انتهاا', 'علاق', 'بشر', 'رحم', 'الله']","['انتهاا', 'عَلّاق', 'بَشَر', 'رَحِم', 'اللّٰه']",انتهاا عَلّاق بَشَر رَحِم اللّٰه
اجتنبوا الظلم واجعلوا الرحمة سبيلكم إلى دخول الجنة,Good Moral: الرحمة,"['اجتنبوا', 'الظلم', 'اجعلوا', 'الرحمة', 'سبيلكم', 'دخول', 'الجنة']",ٱجتنب ظلم اجعلوا رحم سبيل دخول لجن,"['ٱجتنب', 'ظلم', 'اجعلوا', 'رحم', 'سبيل', 'دخول', 'لجن']","['ٱِجْتَنَب', 'ظُلْم', 'اجعلوا', 'رَحِم', 'سَبِيل', 'دُخُول', 'لَجِن']",ٱِجْتَنَب ظُلْم اجعلوا رَحِم سَبِيل دُخُول لَجِن
تضيق الدنيا علينا، وتتسع برحمة الله وغفرانه,Good Moral: رَحْم,"['تضيق', 'الدنيا', 'علينا', 'تتسع', 'برحمة', 'الله', 'غفرانه']",ضيق دنيا علي تسع رحم الله غفران,"['ضيق', 'دنيا', 'علي', 'تسع', 'رحم', 'الله', 'غفران']","['ضَيَّق', 'دَنَّي', 'عَلِيّ', 'تُسْع', 'رَحِم', 'اللّٰه', 'غُفْران']",ضَيَّق دَنَّي عَلِيّ تُسْع رَحِم اللّٰه غُفْران
طوبى لقلوبٍ سكنتها الرحمة واتخذت من الإنسانية سبيلاً لرضا الله عز وجل,Good Moral: الرحمة,"['طوبى', 'لقلوب', 'سكنتها', 'الرحمة', 'اتخذت', 'الإنسانية', 'سبيلا', 'لرضا', 'الله', 'عز', 'جل']",طوب قلوب سكن رحم ٱتخذ إنساني سبيل رض الله عز جل,"['طوب', 'قلوب', 'سكن', 'رحم', 'ٱتخذ', 'إنساني', 'سبيل', 'رض', 'الله', 'عز', 'جل']","['طُوب', 'قُلُوب', 'سُك', 'رَحِم', 'ٱِتَّخَذ', 'أَنَّس', 'سَبِيل', 'رَضّ', 'اللّٰه', 'عِزّ', 'جَلّ']",طُوب قُلُوب سُك رَحِم ٱِتَّخَذ أَنَّس سَبِيل رَضّ اللّٰه عِزّ جَلّ
كلما اتسعت الرحمة، باتت الحياة في هذه الدنيا أسهل وأجمل,Good Moral: الرحمة,"['اتسعت', 'الرحمة', 'باتت', 'الحياة', 'الدنيا', 'أسهل', 'أجمل']",ٱتسع رحم بات ألحي دنيا أسهل أجمل,"['ٱتسع', 'رحم', 'بات', 'ألحي', 'دنيا', 'أسهل', 'أجمل']","['ٱِتَّسَع', 'رَحِم', 'بات', 'أَلْحَى', 'دَنَّي', 'أَسْهَل', 'أَجْمَل']",ٱِتَّسَع رَحِم بات أَلْحَى دَنَّي أَسْهَل أَجْمَل
يشعر الشخص التعيس بالسعادة، حين يلمس الرحمة في قلوب الناس من حوله,Good Moral: الرحمة,"['يشعر', 'الشخص', 'التعيس', 'بالسعادة', 'يلمس', 'الرحمة', 'قلوب', 'الناس', 'حوله']",شعر شخص تعيس سعاد لمس رحم قلوب ناس حول,"['شعر', 'شخص', 'تعيس', 'سعاد', 'لمس', 'رحم', 'قلوب', 'ناس', 'حول']","['شَعَر', 'شَخْص', 'تَعِيس', 'سُعاد', 'لَمَس', 'رَحِم', 'قُلُوب', 'ناس', 'حَوْلَ']",شَعَر شَخْص تَعِيس سُعاد لَمَس رَحِم قُلُوب ناس حَوْلَ
إن إحدى أهم الميزات التي خلقها الله فينا نحن البشر هي الرحمة وربطها مع الإنسانية بشكلٍ مباشر,Good Moral: الرحمة,"['أهم', 'الميزات', 'خلقها', 'الله', 'فينا', 'البشر', 'الرحمة', 'ربطها', 'الإنسانية', 'بشكل', 'مباشر']",أهم ميز خلق الله في بشر رحم ربط إنساني شكل مباشر,"['أهم', 'ميز', 'خلق', 'الله', 'في', 'بشر', 'رحم', 'ربط', 'إنساني', 'شكل', 'مباشر']","['أَهَمّ', 'مَيْز', 'خَلَّق', 'اللّٰه', 'فِي', 'بَشَر', 'رَحِم', 'رَبَط', 'أَنَّس', 'شَكْل', 'مُباشِر']",أَهَمّ مَيْز خَلَّق اللّٰه فِي بَشَر رَحِم رَبَط أَنَّس شَكْل مُباشِر
كل الأديان السماوية تحث على الرحمة، فتراحموا يا بني البشر,Good Moral: الرحمة,"['الأديان', 'السماوية', 'تحث', 'الرحمة', 'فتراحموا', 'بني', 'البشر']",أديان سماوي حث رحم تراحم بن بشر,"['أديان', 'سماوي', 'حث', 'رحم', 'تراحم', 'بن', 'بشر']","['أَدْيان', 'سَماوِيّ', 'حَثّ', 'رَحِم', 'تَراحَم', 'بُنّ', 'بَشَر']",أَدْيان سَماوِيّ حَثّ رَحِم تَراحَم بُنّ بَشَر
أفضل ما يمكن أن تزرعه في قلب طفلك هو بذور الرحمة والعطف,Good Moral: الرحمة,"['أفضل', 'يمكن', 'تزرعه', 'قلب', 'طفلك', 'بذور', 'الرحمة', 'العطف']",أفضل مكن زرع قلب طفل بذور رحم عطف,"['أفضل', 'مكن', 'زرع', 'قلب', 'طفل', 'بذور', 'رحم', 'عطف']","['أَفْضَل', 'مَكَّن', 'زَرَع', 'قَلَّب', 'طِفْل', 'بُذُور', 'رَحِم', 'عُطُف']",أَفْضَل مَكَّن زَرَع قَلَّب طِفْل بُذُور رَحِم عُطُف
دون وجود الرحمة في القلوب تتحول الحياة إلى غابة,Good Moral: الرحمة,"['جود', 'الرحمة', 'القلوب', 'تتحول', 'الحياة', 'غابة']",جود رحم قلوب تحول ألحي غاب,"['جود', 'رحم', 'قلوب', 'تحول', 'ألحي', 'غاب']","['جود', 'رَحِم', 'قُلُوب', 'تَحَوُّل', 'أَلْحَى', 'غاب']",جود رَحِم قُلُوب تَحَوُّل أَلْحَى غاب
يتغلب الإنسان على قسوة هذا العالم بالرحمة فقط,Good Moral: الرحمة,"['يتغلب', 'الإنسان', 'قسوة', 'العالم', 'بالرحمة', 'فقط']",تغلب إنسان قس عالم رحم فقط,"['تغلب', 'إنسان', 'قس', 'عالم', 'رحم', 'فقط']","['تَغَلَّب', 'أَنْسَأ', 'قَسّ', 'عالَم', 'رَحِم', 'فَقَط']",تَغَلَّب أَنْسَأ قَسّ عالَم رَحِم فَقَط
